Character,Lightning,Poison,Fire,Falling,Radiant,Necrotic,Psychic,Ice,Acid,Thunder,Physical,LightningInstances,PoisonInstances,FireInstances,FallingInstances,RadiantInstances,NecroticInstances,PsychicInstances,IceInstances,AcidInstances,ThunderInstances,PhysicalInstances,LightningInstVals,PoisonInstVals,FireInstVals,FallingInstVals,RadiantInstVals,NecroticInstVals,PsychicInstVals,IceInstVals,AcidInstVals,ThunderInstVals,PhysicalInstVals,
Vex'ahlia,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,14,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[24, 18, 23, 13, 31, 25, 44, 22, 21, 9, 12, 13, 28, 17]",
Trinket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",
Vax'ildan,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,7,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[14, 8, 4, 21, 42, 7, 64]",
Grog,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,12,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[24, 35, 31, 33, 30, 23, 34, 41, 26, 31, 34, 31]",
Keyleth,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,18,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[30, 30, 30, 30, 30, 30, 31, 31, 31, 31, 31, 31, 21, 21, 10, 10, 18, 12]",
Percy,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,9,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[26, 17, 17, 17, 25, 14, 14, 18, 18]",
Scanlan,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,8,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[33, 33, 37, 40, 24, 42, 23, 11]",
Pike,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,4,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[8, 27, 22, 11]",
Tiberius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",
Taryon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",
Doty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",
Tova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",
