Character,Lightning,Poison,Fire,Falling,Radiant,Necrotic,Psychic,Ice,Acid,Thunder,Physical,LightningInstances,PoisonInstances,FireInstances,FallingInstances,RadiantInstances,NecroticInstances,PsychicInstances,IceInstances,AcidInstances,ThunderInstances,PhysicalInstances,LightningInstVals,PoisonInstVals,FireInstVals,FallingInstVals,RadiantInstVals,NecroticInstVals,PsychicInstVals,IceInstVals,AcidInstVals,ThunderInstVals,PhysicalInstVals,
Vex,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,3,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[9, 20, 21]",
Trinket,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,1,1,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[8]","[5]",
Vax,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,9,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[7, 12, 16, 20, 18, 21, 7, 15, 11]",
Grog,0,0,0,0,38,0,0,0,0,4,43,0,0,0,0,2,0,0,0,0,1,4,"[]","[]","[]","[]","[17, 21]","[]","[]","[]","[]","[4]","[3, 5, 8, 27]",
Keyleth,0,0,0,0,25,0,0,0,0,8,80,0,0,0,0,2,0,0,0,0,1,6,"[]","[]","[]","[]","[12, 13]","[]","[]","[]","[]","[8]","[10, 25, 9, 9, 12, 15]",
Percy,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,9,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[11, 8, 8, 9, 12, 21, 17, 19, 32]",
Scanlan,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,4,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[11, 7, 4, 11]",
Pike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",
Tiberius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",
Taryon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",
Doty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",
Tova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",
